Time (s),ESC signal (µs),Thrust (gf)
9.013595,181.7115,112.9188426
9.02998,182.67,112.9188426
9.04775,183.705,112.9188426
9.081005,185.6568,112.9188426
9.09705,186.7662,120.3112384
9.11269,187.6776,120.3112384
9.130115,188.6199,120.3112384
9.145685,189.7146,120.3112384
9.16065,190.5924,120.3112384
9.177125,191.4903,120.3112384
9.1925,192.5553,120.3112384
9.209195,193.4022,120.3112384
9.2246,194.4057,120.3112384
9.24081,195.3312,128.7048179
9.25661,196.299,128.7048179
9.272795,197.2902,128.7048179
9.288775,198.2253,128.7048179
9.30505,199.1829,128.7048179
9.32055,200.1963,128.7048179
9.33672,201.0834,128.7048179
9.35329,202.0563,128.7048179
9.372235,203.1456,128.7048179
9.387515,204.2529,135.833916
9.40281,205.1034,135.833916
9.4186,206.151,135.833916
9.434635,206.9676,135.833916
9.449615,207.9303,135.833916
9.46471,208.8282,135.833916
9.48087,209.7339,135.833916
9.49683,210.7119,135.833916
9.512615,211.662,135.833916
9.53141,212.6109,135.833916
9.54823,213.8358,143.6435712
9.563925,214.7652,143.6435712
9.580895,215.6883,143.6435712
9.597265,216.7644,143.6435712
9.614085,217.6947,143.6435712
9.629885,218.6979,143.6435712
9.64591,219.6915,143.6435712
9.661805,220.6092,143.6435712
9.67781,221.5656,143.6435712
9.6956,222.6831,151.0726948
9.71106,223.5912,151.0726948
9.727615,224.514,151.0726948
9.74282,225.6228,151.0726948
9.75802,226.4202,151.0726948
9.773885,227.3334,151.0726948
9.789875,228.2835,151.0726948
9.80632,229.2432,151.0726948
9.822125,230.2344,151.0726948
9.83776,231.1782,158.7841341
9.856945,232.116,158.7841341
9.87276,233.3661,158.7841341
9.88976,234.2166,158.7841341
9.90633,235.2375,158.7841341
9.921845,236.2371,158.7841341
9.93682,237.162,158.7841341
9.955095,238.065,158.7841341
9.97096,239.2029,158.7841341
9.986815,240.108,166.1686373
10.00368,241.0599,166.1686373
10.02147,242.1948,166.1686373
10.03787,243.2058,166.1686373
10.052885,244.1262,166.1686373
10.068275,245.1741,166.1686373
10.084325,245.9508,166.1686373
10.100225,246.912,166.1686373
10.115105,247.8672,166.1686373
10.13048,248.7609,175.6583862
10.146085,249.717,175.6583862
10.162085,250.617,175.6583862
10.17927,251.5761,175.6583862
10.19489,252.7953,175.6583862
10.211145,253.5444,175.6583862
10.228815,254.5248,175.6583862
10.2441,255.6984,175.6583862
10.260245,256.4964,175.6583862
10.28019,257.4657,175.6583862
10.29606,258.6936,182.7282474
10.312065,259.6149,182.7282474
10.327545,260.5746,182.7282474
10.345615,261.6189,182.7282474
10.361025,262.59,182.7282474
10.377815,263.5113,182.7282474
10.393165,264.6435,182.7282474
10.40913,265.4418,182.7282474
10.42408,266.4009,182.7282474
10.4391,267.2961,188.9785011
10.455305,268.1982,188.9785011
10.470225,269.2113,188.9785011
10.48528,270.0648,188.9785011
10.505255,270.969,188.9785011
10.520175,272.2677,188.9785011
10.53622,273.0672,188.9785011
10.55199,274.0239,188.9785011
10.568325,275.0517,188.9785011
10.58446,275.9535,194.0918554
10.600255,276.9234,194.0918554
10.615245,277.9722,194.0918554
10.631705,278.7672,194.0918554
10.647355,279.7599,194.0918554
10.665155,280.6932,194.0918554
10.680925,281.8347,194.0918554
10.697455,282.7701,194.0918554
10.714195,283.6983,194.0918554
10.730985,284.7051,200.7536584
10.74715,285.7128,200.7536584
10.76214,286.6803,200.7536584
10.778235,287.5788,200.7536584
10.794255,288.6588,200.7536584
10.809235,289.5087,200.7536584
10.82818,290.4069,200.7536584
10.844205,291.6627,200.7536584
10.85929,292.5039,200.7536584
10.87631,293.4102,200.7536584
10.89225,294.5307,208.1053906
10.90726,295.3869,208.1053906
10.922385,296.2884,208.1053906
10.93833,297.1935,208.1053906
10.954485,298.1532,208.1053906
10.970635,299.1207,208.1053906
10.98943,300.1302,208.1053906
11.005915,301.2909,208.1053906
11.02149,302.3979,208.1053906
11.037775,303.2103,216.7259826
11.05442,304.122,216.7259826
11.070495,305.2896,216.7259826
11.08648,306.0915,216.7259826
11.10314,307.0479,216.7259826
11.11862,308.181,216.7259826
11.134485,308.97,216.7259826
11.152565,309.9213,216.7259826
11.16754,311.0688,216.7259826
11.183935,311.9049,224.6671733
11.199455,312.8889,224.6671733
11.21546,313.8159,224.6671733
11.23185,314.7786,224.6671733
11.24742,315.765,224.6671733
11.263775,316.6956,224.6671733
11.279795,317.6811,224.6671733
11.295515,318.6858,224.6671733
11.31308,319.5816,224.6671733
11.330005,320.7006,231.9554524
11.34547,321.6918,231.9554524
11.36043,322.5792,231.9554524
11.376665,323.4771,231.9554524
11.392445,324.5196,231.9554524
11.40864,325.3971,231.9554524
11.42358,326.3721,231.9554524
11.438565,327.2658,231.9554524
11.4551,328.1748,231.9554524
11.472105,329.1972,231.9554524
11.4874,330.2403,237.8726552
11.502705,331.0965,237.8726552
11.518485,332.136,237.8726552
11.53473,332.9601,237.8726552
11.55082,333.9348,237.8726552
11.56682,335.0043,237.8726552
11.582715,335.8647,237.8726552
11.598225,336.8172,237.8726552
11.61456,337.749,237.8726552
11.632025,338.7402,244.583247
11.64756,339.864,244.583247
11.66275,340.7049,244.583247
11.678125,341.6172,244.583247
11.69353,342.7134,244.583247
11.708785,343.4634,244.583247
11.724635,344.3781,244.583247
11.73971,345.3288,244.583247
11.755105,346.2336,244.583247
11.770835,347.2002,244.583247
11.787195,348.1044,251.784079
11.80332,349.0893,251.784079
11.818625,350.1657,251.784079
11.83476,350.9682,251.784079
11.85185,351.9381,251.784079
11.867635,353.0754,251.784079
11.882785,353.9088,251.784079
11.89779,354.8199,251.784079
11.91266,355.7196,251.784079
11.93049,356.6112,258.1069949
11.947255,357.7293,258.1069949
11.96275,358.7481,258.1069949
11.97786,359.6196,258.1069949
11.993925,360.6399,258.1069949
12.010715,361.4961,258.1069949
12.026785,362.4954,258.1069949
12.04283,363.5307,258.1069949
12.05803,364.4217,258.1069949
12.07394,365.3376,264.7548346
12.088985,366.2898,264.7548346
12.108375,367.2054,264.7548346
12.124735,368.4735,264.7548346
12.14091,369.3363,264.7548346
12.157135,370.305,264.7548346
12.172815,371.2878,264.7548346
12.188885,372.2193,264.7548346
12.205465,373.1868,264.7548346
12.220875,374.2311,264.7548346
12.23688,375.1044,272.6175401
12.253035,376.0668,272.6175401
12.270555,377.1618,272.6175401
12.28645,378.1497,272.6175401
12.30509,379.0383,272.6175401
12.320895,380.2038,272.6175401
12.336345,381.1107,272.6175401
12.352735,382.0332,272.6175401
12.36887,383.1297,272.6175401
12.38492,383.9832,278.7810094
12.40193,384.9456,278.7810094
12.417965,386.0682,278.7810094
12.435695,386.9295,278.7810094
12.453105,387.9984,278.7810094
12.46889,389.1567,278.7810094
12.484895,389.9832,278.7810094
12.504465,390.9441,278.7810094
12.519865,392.1513,278.7810094
12.535965,393.0453,285.4134223
12.55233,394.0089,285.4134223
12.56806,395.0748,285.4134223
12.583415,395.9343,285.4134223
12.601105,396.858,285.4134223
12.61759,397.9893,285.4134223
12.63357,398.9082,285.4134223
12.648965,399.8748,285.4134223
12.665215,400.7889,285.4134223
12.682055,401.7702,292.2707129
12.6972,402.8538,292.2707129
12.71338,403.6854,292.2707129
12.729245,404.6535,292.2707129
12.74533,405.7653,292.2707129
12.76299,406.6464,292.2707129
12.781045,407.6424,292.2707129
12.797585,408.8742,292.2707129
12.815905,409.7082,292.2707129
12.83222,410.8176,299.4076764
12.84811,411.7866,299.4076764
12.864115,412.7379,299.4076764
12.88046,413.6988,299.4076764
12.89618,414.726,299.4076764
12.913915,415.6233,299.4076764
12.93036,416.7507,299.4076764
12.94609,417.7137,299.4076764
12.962245,418.6194,299.4076764
12.978225,419.5902,306.3942169
12.994395,420.6729,306.3942169
13.010165,421.5168,306.3942169
13.02653,422.4612,306.3942169
13.042115,423.5169,306.3942169
13.0578,424.3779,306.3942169
13.075115,425.3262,306.3942169
13.09164,426.4476,306.3942169
13.10791,427.3548,306.3942169
13.12419,428.3418,313.9344637
13.139325,429.303,313.9344637
13.1551,430.2114,313.9344637
13.170375,431.2002,313.9344637
13.18658,432.0738,313.9344637
13.20302,433.0575,313.9344637
13.21923,434.1585,313.9344637
13.236785,435.0039,313.9344637
13.252255,436.0614,313.9344637
13.26825,437.0649,313.9344637
13.283115,437.9466,320.8637867
13.299105,438.8388,320.8637867
13.31419,439.7964,320.8637867
13.33026,440.7024,320.8637867
13.3462,441.7068,320.8637867
13.362265,442.6233,320.8637867
13.377655,443.5875,320.8637867
13.39498,444.6249,320.8637867
13.411295,445.554,320.8637867
13.42655,446.5302,324.2817221
13.442225,447.5169,324.2817221
13.457405,448.383,324.2817221
13.473235,449.295,324.2817221
13.48923,450.2451,324.2817221
13.50597,451.2057,324.2817221
13.521415,452.2551,324.2817221
13.536215,453.1362,324.2817221
13.554135,454.023,324.2817221
13.570315,455.2701,328.479017
13.58545,456.0741,328.479017
13.60193,456.9798,328.479017
13.617455,458.0442,328.479017
13.63332,458.8992,328.479017
13.649365,459.8502,328.479017
13.66443,460.8123,328.479017
13.680455,461.7231,328.479017
13.69549,462.7338,328.479017
13.71306,463.5942,328.479017
13.728295,464.7012,336.6007288
13.744295,465.6816,336.6007288
13.760505,466.5096,336.6007288
13.777025,467.4813,336.6007288
13.793435,468.5394,336.6007288
13.809475,469.4574,336.6007288
13.82453,470.4228,336.6007288
13.83949,471.3225,336.6007288
13.85496,472.2213,336.6007288
13.87301,473.1963,342.2436598
13.8883,474.3066,342.2436598
13.905145,475.1544,342.2436598
13.921755,476.2053,342.2436598
13.9386,477.1566,342.2436598
13.95519,478.1673,342.2436598
13.971735,479.2104,342.2436598
13.987655,480.156,342.2436598
14.003955,481.1118,342.2436598
14.019485,482.205,349.6437478
14.037275,483.0204,349.6437478
14.052735,484.0992,349.6437478
14.06881,485.1459,349.6437478
14.085375,485.9889,349.6437478
14.10273,486.9849,349.6437478
14.11747,488.0967,349.6437478
14.133495,488.8989,349.6437478
14.14954,489.8598,349.6437478
14.1656,490.8228,349.6437478
14.182125,491.7867,355.5288061
14.20021,492.7899,355.5288061
14.21544,493.9302,355.5288061
14.231305,494.7771,355.5288061
14.246695,495.7344,355.5288061
14.262745,496.6539,355.5288061
14.280325,497.6172,355.5288061
14.29681,498.7164,355.5288061
14.314345,499.6659,355.5288061
14.330855,500.7111,360.9812208
14.346995,501.7437,360.9812208
14.36441,502.6716,360.9812208
14.38131,503.7816,360.9812208
14.397905,504.732,360.9812208
14.412745,505.7262,360.9812208
14.43036,506.6181,360.9812208
14.44689,507.7182,360.9812208
14.46258,508.665,360.9812208
14.478935,509.6055,366.3738987
14.494075,510.7002,366.3738987
14.509715,511.4994,366.3738987
14.526275,512.4342,366.3738987
14.543095,513.4956,366.3738987
14.55883,514.4379,366.3738987
14.574875,515.385,366.3738987
14.58998,516.348,366.3738987
14.60675,517.2525,366.3738987
14.62204,518.3091,372.0483489
14.637645,519.1758,372.0483489
14.655205,520.1097,372.0483489
14.67079,521.211,372.0483489
14.68755,522.099,372.0483489
14.702775,523.1079,372.0483489
14.718725,524.1378,372.0483489
14.734695,524.9745,372.0483489
14.749795,525.9321,372.0483489
14.76653,526.8369,376.8562913
14.7829,527.8488,376.8562913
14.798345,528.8415,376.8562913
14.813725,529.7553,376.8562913
14.82902,530.6823,376.8562913
14.84673,531.72,376.8562913
14.862775,532.7265,376.8562913
14.8781,533.6199,376.8562913
14.8941,534.6666,376.8562913
14.909915,535.497,376.8562913
14.927195,536.4456,382.4573441
14.943025,537.5874,382.4573441
14.958095,538.4328,382.4573441
14.97436,539.3382,382.4573441
14.990275,540.312,382.4573441
15.007885,541.284,382.4573441
15.02384,542.3304,382.4573441
15.04014,543.2826,382.4573441
15.057365,544.2621,382.4573441
15.07404,545.3178,387.8024122
15.090235,546.2988,387.8024122
15.106715,547.2654,387.8024122
15.122935,548.2602,387.8024122
15.13795,549.2283,387.8024122
15.154875,550.1322,387.8024122
15.17148,551.187,387.8024122
15.186855,552.2085,387.8024122
15.2032,553.0671,387.8024122
15.219105,554.1669,392.659889
15.23496,554.9973,392.659889
15.249945,555.9507,392.659889
15.265015,556.8474,392.659889
15.282095,557.7519,392.659889
15.29805,558.7794,392.659889
15.313885,559.7337,392.659889
15.33227,560.6835,392.659889
15.347925,561.8907,392.659889
15.36304,562.728,398.8537196
15.379105,563.6448,398.8537196
15.39496,564.723,398.8537196
15.41112,565.5495,398.8537196
15.42651,566.5188,398.8537196
